index,Year,Country Code,GDP,Population,Urban Population,Ecological Footprint,Biocapacity,Temperature,Precipitation,CO2,CH4,Water Vapor,Aerosol
0,2021,36,1525415318473,25700000,86.4,184745561.4576410,294441484.6115060,295.5318311,1.66E-05,0.0004187399911,1.93E-06,23.25431927,0.08998317209
1,2021,40,401235645902,8801000,59.0,56087259.108491,23612073.48869940,283.8631429,3.14E-05,0.0004187455688,1.93E-06,16.75335012,0.116120635
2,2021,56,483822267325,11669000,98.1,83968570.20527820,8894941.434561920,285.1719983,3.39E-05,0.0004187435542,1.93E-06,17.91979561,0.1089029132
3,2021,124,1635077510518,37924000,81.7,310539970.0332440,545913180.7608370,273.4982038,2.6E-05,0.0004187376923,1.93E-06,11.44026227,0.06325119164
4,2021,203,207389504280,10634000,74.2,60547159.86587960,25952211.112902200,284.0777984,2.73E-05,0.0004187469223,1.93E-06,17.23880296,0.1171598521
5,2021,208,337559218312,5819000,88.2,39962081.310046700,22794363.895627800,279.0475934,4.03E-05,0.0004187509612,1.93E-06,13.6389172,0.08555177666
6,2021,246,254452133804,5599000,85.6,33802940.355665100,67132333.24109210,275.8594206,2.24E-05,0.0004187562528,1.93E-06,11.08790188,0.08174452597
7,2021,250,2533446087869,65955000,81.2,293811888.2796350,161541096.94394000,285.3626442,3.77E-05,0.000418741302,1.93E-06,17.53041315,0.1019296938
8,2021,276,3520521627395,82591000,77.5,388157885.3632220,122480599.22160100,284.1615725,3.23E-05,0.0004187471377,1.93E-06,17.16584812,0.1110788981
9,2021,300,193775239821,11075000,80.0,43326578.62085670,14070785.827363300,288.2969844,2.81E-05,0.0004187433939,1.93E-06,18.08000497,0.1480324691
10,2021,348,146196634821,9586000,72.2,36662551.98177850,25082124.01362670,283.2809205,2.93E-05,0.0004187513848,1.93E-06,16.39524547,0.1193348356
12,2021,372,398201329917,4926000,63.9,25890744.62275340,14669473.539230800,284.210966,4.21E-05,0.0004187395261,1.93E-06,16.08418128,0.1069051582
